Frequency (Hz)	Level (dB)
86.132812	-70.999580
172.265625	-68.931602
258.398438	-70.241203
344.531250	-65.590225
430.664062	-62.374401
516.796875	-69.788704
602.929688	-80.436371
689.062500	-82.279350
775.195312	-83.075439
861.328125	-81.673798
947.460938	-81.166901
1033.593750	-80.756844
1119.726562	-79.347672
1205.859375	-78.072685
1291.992188	-74.965057
1378.125000	-72.882988
1464.257812	-73.834335
1550.390625	-76.126335
1636.523438	-77.538925
1722.656250	-77.098389
1808.789062	-75.879494
1894.921875	-74.204880
1981.054688	-72.430977
2067.187500	-73.756653
2153.320312	-78.295547
2239.453125	-80.240463
2325.585938	-80.134598
2411.718750	-80.519661
2497.851562	-82.636681
2583.984375	-82.581245
2670.117188	-82.804237
2756.250000	-83.406105
2842.382812	-83.899216
2928.515625	-84.696487
3014.648438	-85.057411
3100.781250	-86.044434
3186.914062	-85.943474
3273.046875	-85.614944
3359.179688	-86.468056
3445.312500	-87.473679
3531.445312	-86.956886
3617.578125	-87.464203
3703.710938	-87.864799
3789.843750	-88.313713
3875.976562	-89.023018
3962.109375	-89.037605
4048.242188	-88.906746
4134.375000	-89.073128
4220.507812	-89.489159
4306.640625	-89.722252
4392.773438	-90.220055
4478.906250	-88.945602
4565.039062	-89.075951
4651.171875	-90.192314
4737.304688	-90.655556
4823.437500	-91.111397
4909.570312	-90.908928
4995.703125	-90.678833
5081.835938	-90.770035
5167.968750	-91.515053
5254.101562	-92.045403
5340.234375	-91.735046
5426.367188	-91.695145
5512.500000	-91.434372
5598.632812	-91.297676
5684.765625	-90.709419
5770.898438	-91.044716
5857.031250	-92.592606
5943.164062	-93.356697
6029.296875	-94.137451
6115.429688	-94.043182
6201.562500	-93.908669
6287.695312	-94.164909
6373.828125	-94.290283
6459.960938	-93.648262
6546.093750	-93.717247
6632.226562	-93.972122
6718.359375	-93.655144
6804.492188	-92.533676
6890.625000	-92.289261
6976.757812	-91.229996
7062.890625	-90.355553
7149.023438	-91.429245
7235.156250	-92.325661
7321.289062	-92.480232
7407.421875	-92.908325
7493.554688	-93.678795
7579.687500	-94.010330
7665.820312	-94.300308
7751.953125	-94.874115
7838.085938	-95.837524
7924.218750	-95.690384
8010.351562	-94.688126
8096.484375	-94.871208
8182.617188	-95.294479
8268.750000	-95.645538
8354.882812	-95.142143
8441.015625	-95.693954
8527.148438	-97.020958
8613.281250	-96.833984
8699.414062	-95.809608
8785.546875	-95.935303
8871.679688	-96.287949
8957.812500	-96.110100
9043.945312	-96.517601
9130.078125	-97.572205
9216.210938	-98.272812
9302.343750	-98.285774
9388.476562	-98.963791
9474.609375	-99.941902
9560.742188	-100.299797
9646.875000	-100.172577
9733.007812	-100.185219
9819.140625	-99.805382
9905.273438	-100.394371
9991.406250	-100.659584
10077.539062	-100.441315
10163.671875	-100.352943
10249.804688	-101.019157
10335.937500	-101.430054
10422.070312	-101.694748
10508.203125	-101.925369
10594.335938	-101.880150
10680.468750	-102.321404
10766.601562	-102.299805
10852.734375	-102.335487
10938.867188	-102.477921
11025.000000	-102.789742
11111.132812	-102.995857
11197.265625	-102.868332
11283.398438	-102.891716
11369.531250	-102.941231
11455.664062	-102.831909
11541.796875	-103.275146
11627.929688	-103.633911
11714.062500	-103.865944
11800.195312	-103.824348
11886.328125	-104.410057
11972.460938	-103.863075
12058.593750	-103.823906
12144.726562	-103.803291
12230.859375	-103.979790
12316.992188	-103.929276
12403.125000	-104.205490
12489.257812	-104.595032
12575.390625	-104.252708
12661.523438	-104.543747
12747.656250	-104.721672
12833.789062	-104.603745
12919.921875	-104.780418
13006.054688	-104.935249
13092.187500	-105.199608
13178.320312	-104.892570
13264.453125	-104.691856
13350.585938	-104.867462
13436.718750	-104.620949
13522.851562	-105.011154
13608.984375	-105.363373
