Frequency (Hz)	Level (dB)
86.132812	-73.617424
172.265625	-71.895737
258.398438	-73.952621
344.531250	-76.410072
430.664062	-76.146545
516.796875	-77.694893
602.929688	-83.555008
689.062500	-85.131081
775.195312	-85.072128
861.328125	-85.112000
947.460938	-85.078575
1033.593750	-85.183029
1119.726562	-83.865219
1205.859375	-83.213036
1291.992188	-82.854561
1378.125000	-83.136009
1464.257812	-83.803520
1550.390625	-84.044052
1636.523438	-84.491646
1722.656250	-84.023880
1808.789062	-85.088776
1894.921875	-86.645828
1981.054688	-86.555092
2067.187500	-84.959137
2153.320312	-85.719528
2239.453125	-86.209045
2325.585938	-86.674484
2411.718750	-87.459084
2497.851562	-86.924919
2583.984375	-85.432442
2670.117188	-85.252701
2756.250000	-86.218994
2842.382812	-86.183853
2928.515625	-86.618706
3014.648438	-87.695045
3100.781250	-88.177689
3186.914062	-88.034904
3273.046875	-87.558640
3359.179688	-88.328072
3445.312500	-89.559525
3531.445312	-89.472649
3617.578125	-90.021080
3703.710938	-89.965767
3789.843750	-90.762352
3875.976562	-92.007416
3962.109375	-92.000313
4048.242188	-91.784851
4134.375000	-91.515175
4220.507812	-91.636208
4306.640625	-91.945724
4392.773438	-91.534966
4478.906250	-90.652855
4565.039062	-91.340996
4651.171875	-91.960617
4737.304688	-92.512939
4823.437500	-93.212143
4909.570312	-93.052032
4995.703125	-93.232857
5081.835938	-93.637741
5167.968750	-93.452118
5254.101562	-93.577026
5340.234375	-93.453796
5426.367188	-93.739708
5512.500000	-93.692726
5598.632812	-93.486404
5684.765625	-94.308052
5770.898438	-95.106094
5857.031250	-95.257721
5943.164062	-95.227318
6029.296875	-95.150322
6115.429688	-95.346611
6201.562500	-95.586388
6287.695312	-95.740181
6373.828125	-96.194916
6459.960938	-95.987450
6546.093750	-95.897423
6632.226562	-96.487854
6718.359375	-96.531319
6804.492188	-96.460854
6890.625000	-95.978256
6976.757812	-95.331322
7062.890625	-94.456024
7149.023438	-94.470764
7235.156250	-95.235237
7321.289062	-95.266304
7407.421875	-95.349251
7493.554688	-95.311440
7579.687500	-95.599861
7665.820312	-96.728493
7751.953125	-97.225616
7838.085938	-97.849724
7924.218750	-98.128731
